H,Tub,Date,Temp,pH,DO1,DO2,Salinity,Time
H2,2A,10/21/19,11.7,7.68,7.54,86.4,34.6,10:08
H2,2B,10/21/19,11.7,7.68,7.44,85.3,34.61,10:09
H2,2C,10/21/19,11.8,7.68,7.37,84.6,34.6,10:10
H3,3A,10/21/19,10.9,7.6,6.46,72.9,34.6,10:11
H3,3B,10/21/19,11,7.59,6.2,70,34.6,10:12
H3,3C,10/21/19,11,7.59,6.26,70.7,34.6,10:13
H4,4A,10/21/19,10.4,7.52,5.38,59.9,34.6,10:14
H4,4B,10/21/19,10.4,7.52,5.21,58,34.6,10:15
H4,4C,10/21/19,10.5,7.52,5.37,60,34.6,10:15
H5,5A,10/21/19,10.1,7.48,5.06,56.1,34.59,10:16
H5,5B,10/21/19,10.3,7.47,4.91,54.5,34.59,10:17
H5,5C,10/21/19,10.3,7.47,4.79,53.2,34.59,10:18
H6,6A,10/21/19,9.9,7.44,4.66,51.3,34.57,10:20
H6,6B,10/21/19,10,7.43,4.67,51.6,34.59,10:20
H6,6C,10/21/19,10,7.43,4.67,51.5,34.58,10:21
H1,1A,10/22/19,12.5,7.74,7.11,82.4,34.6,12:10
H1,1B,10/22/19,12.4,7.77,7.24,84.5,34.6,12:12
H1,1C,10/22/19,12.5,7.76,6.89,81.6,34.6,12:13
H2,2A,10/22/19,12,7.7,6.53,74.4,34.59,12:15
H2,2B,10/22/19,12,7.71,6.39,73.5,34.59,12:16
H2,2C,10/22/19,12.1,7.71,6.35,73.3,34.59,12:17
H3,3A,10/22/19,11.4,7.63,5.83,66.3,34.59,12:18
H3,3B,10/22/19,11.4,7.62,5.64,64.1,34.58,12:19
H3,3C,10/22/19,11.5,7.62,5.64,64.3,34.59,12:20
H4,4A,10/22/19,11,7.56,5.07,57.5,34.59,12:22
H4,4B,10/22/19,11.1,7.55,5.07,57,34.59,12:22
H4,4C,10/22/19,11.1,7.55,5.09,57.5,34.58,12:23
H5,5A,10/22/19,10.7,7.49,4.67,52.3,34.58,12:25
H5,5B,10/22/19,10.9,7.49,4.62,51.8,34.58,12:27
H5,5C,10/22/19,10.9,7.49,4.65,52.4,34.58,12:28
H6,6A,10/22/19,10.7,7.47,4.83,54.2,34.57,12:30
H6,6B,10/22/19,10.8,7.47,4.81,54.1,34.57,12:31
H6,6C,10/22/19,10.8,7.48,4.82,54.3,34.58,12:32
H1,1A,10/23/19,12.3,7.77,7.26,84.1,34.57,10:41
H1,1B,10/23/19,12.3,7.78,7.28,84.3,34.57,10:42
H1,1C,10/23/19,12.4,7.78,7.2,83.7,34.58,10:43
H2,2A,10/23/19,11.8,7.71,6.6,75.5,34.58,10:43
H2,2B,10/23/19,11.8,7.72,6.52,74.6,34.57,10:44
H2,2C,10/23/19,11.8,7.7,6.5,74.5,34.57,10:45
H3,3A,10/23/19,11.2,7.64,5.91,66.9,34.57,10:46
H3,3B,10/23/19,11.2,7.65,5.83,66.1,34.57,10:47
H3,3C,10/23/19,11.3,7.64,5.81,66,34.57,10:48
H4,4A,10/23/19,10.8,7.54,5.14,57.8,34.57,10:49
H4,4B,10/23/19,10.9,7.55,5.16,57.5,34.57,10:50
H4,4C,10/23/19,11,7.57,5.22,58.9,34.57,10:51
H5,5A,10/23/19,10.5,7.5,4.84,53.9,34.56,10:52
H5,5B,10/23/19,10.6,7.47,4.6,51.4,34.56,10:53
H5,5C,10/23/19,10.6,7.5,4.66,52.2,34.56,10:54
H6,6A,10/23/19,10.4,7.46,4.64,51.6,34.56,10:55
H6,6B,10/23/19,10.5,7.46,4.68,52.2,34.56,10:55
H6,6C,10/23/19,10.5,7.45,4.55,50.8,34.56,10:56
H1,1A,10/24/19,12.5,7.77,7.59,88.5,34.59,13:28
H1,1B,10/24/19,12.5,7.77,7.67,89.4,34.59,13:29
H1,1C,10/24/19,12.6,7.76,7.5,88.9,34.58,13:30
H2,2A,10/24/19,12,7.72,7.21,83.2,34.58,13:31
H2,2B,10/24/19,12,7.69,6.85,79.8,34.58,13:32
H2,2C,10/24/19,12.1,7.72,7.25,83.7,34.58,13:33
H3,3A,10/24/19,11.4,7.63,6.38,72.6,34.58,13:34
H3,3B,10/24/19,11.4,7.61,6.12,69.5,34.57,13:35
H3,3C,10/24/19,11.4,7.63,6.36,72.5,34.57,13:35
H4,4A,10/24/19,10.9,7.54,5.6,63.2,34.58,13:36
H4,4B,10/24/19,11,7.56,5.78,65.2,34.57,13:37
H4,4C,10/24/19,11.1,7.56,5.74,64.8,34.57,13:38
H5,5A,10/24/19,10.6,7.49,5.26,58.9,34.56,13:39
H5,5B,10/24/19,10.7,7.47,4.93,55.3,34.57,13:40
H5,5C,10/24/19,10.7,7.49,5.16,57.8,34.57,13:41
H6,6A,10/24/19,10.4,7.47,5.12,57.1,34.56,13:42
H6,6B,10/24/19,10.6,7.46,5.05,56.4,34.57,13:42
H6,6C,10/24/19,10.6,7.46,5.14,57.4,34.57,13:43
H1,1A,10/25/19,12.8,7.77,7.14,83.1,34.58,11:59
H1,1B,10/25/19,12.8,7.78,7.1,83,34.58,12:00
H1,1C,10/25/19,12.9,7.78,6.99,82,34.58,12:01
H2,2A,10/25/19,12.3,7.72,6.47,74.9,34.58,12:02
H2,2B,10/25/19,12.2,7.71,6.31,73.2,34.57,12:03
H2,2C,10/25/19,12.3,7.73,6.5,75.2,34.58,12:04
H3,3A,10/25/19,11.7,7.63,5.62,64.4,34.58,12:05
H3,3B,10/25/19,11.7,7.61,5.35,61.2,34.57,12:06
H3,3C,10/25/19,11.8,7.63,5.59,64,34.57,12:07
H4,4A,10/25/19,11.3,7.56,4.99,56.4,34.57,12:08
H4,4B,10/25/19,11.3,7.56,4.93,56.1,34.57,12:09
H4,4C,10/25/19,11.4,7.56,4.99,56.7,34.57,12:10
H5,5A,10/25/19,11,7.49,4.62,52.1,34.57,12:11
H5,5B,10/25/19,11.1,7.48,4.39,49.7,34.57,12:13
H5,5C,10/25/19,11.1,7.5,4.6,52,34.57,12:13
H6,6A,10/25/19,10.9,7.48,4.67,52.6,34.56,12:15
H6,6B,10/25/19,11,7.46,4.6,52,34.57,12:16
H6,6C,10/25/19,11,7.47,4.59,51.7,34.57,12:17
H1,1A,10/26/19,12.6,7.76,7.31,85.4,34.58,11:08
H1,1B,10/26/19,12.6,7.76,7.24,84.8,34.59,11:10
H1,1C,10/26/19,12.8,7.78,7.32,85.7,34.59,11:11
H2,2A,10/26/19,12.1,7.7,6.61,76.3,34.58,11:12
H2,2B,10/26/19,12.1,7.72,6.74,77.8,34.58,11:13
H2,2C,10/26/19,12.1,7.72,6.78,78.5,34.58,11:14
H3,3A,10/26/19,11.5,7.64,6.01,68.3,34.59,11:15
H3,3B,10/26/19,11.4,7.66,5.76,65.7,34.58,11:15
H3,3C,10/26/19,11.4,7.62,5.78,65.7,34.58,11:16
H4,4A,10/26/19,11,7.53,4.9,55.2,34.58,11:18
H4,4B,10/26/19,11,7.54,4.99,56.4,34.58,11:19
H4,4C,10/26/19,11.1,7.54,4.93,55.8,34.58,11:20
H5,5A,10/26/19,10.6,7.49,4.61,51.6,34.58,11:21
H5,5B,10/26/19,10.7,7.48,4.58,50.8,34.58,11:22
H5,5C,10/26/19,10.8,7.5,4.66,52.4,34.58,11:22
H6,6A,10/26/19,10.6,7.46,4.91,55.1,34.57,11:24
H6,6B,10/26/19,10.9,7.45,4.72,53.2,34.58,11:25
H6,6C,10/26/19,10.9,7.46,4.96,55.8,34.56,11:26
H1,1A,10/27/19,12.3,7.74,7.55,87.2,34.56,12:38
H1,1B,10/27/19,12.3,7.76,7.47,86.6,34.58,12:39
H1,1C,10/27/19,12.5,7.79,7.82,91.2,34.57,12:40
H2,2A,10/27/19,11.8,7.71,6.98,80.2,34.58,12:41
H2,2B,10/27/19,11.8,7.72,7.1,81.4,34.58,12:42
H2,2C,10/27/19,11.9,7.73,7.15,82.2,34.57,12:42
H3,3A,10/27/19,11.2,7.64,6.35,72,34.57,12:43
H3,3B,10/27/19,11.2,7.63,6.19,69.9,34.57,12:44
H3,3C,10/27/19,11.2,7.64,6.21,70.4,34.57,12:45
H4,4A,10/27/19,10.7,7.52,5.23,58.5,34.58,12:46
H4,4B,10/27/19,10.8,7.56,5.5,61.8,34.57,12:47
H4,4C,10/27/19,10.8,7.55,5.47,61.4,34.58,12:48
H5,5A,10/27/19,10.4,7.49,5.02,55.7,34.56,12:49
H5,5B,10/27/19,10.5,7.49,4.94,55,34.57,12:50
H5,5C,10/27/19,10.5,7.49,5.06,56.4,34.57,12:51
H6,6A,10/27/19,10.2,7.46,4.86,53.9,34.56,12:52
H6,6B,10/27/19,10.4,7.45,4.62,51.7,34.56,12:54
H6,6C,10/27/19,10.3,7.46,4.84,53.6,34.57,12:54
H1,1A,10/28/19,12.1,7.76,8.1,93.5,34.61,11:44
H1,1B,10/28/19,12.1,7.79,8.36,96.6,34.61,11:45
H1,1C,10/28/19,12.2,7.79,8.23,95.3,34.6,11:46
H2,2A,10/28/19,11.4,7.7,7.25,82.5,34.6,11:47
H2,2B,10/28/19,11.4,7.7,7.19,81.9,34.6,11:48
H2,2C,10/28/19,11.4,7.72,7.1,81.9,34.6,11:49
H3,3A,10/28/19,10.8,7.64,6.37,71.5,34.6,11:50
H3,3B,10/28/19,10.8,7.62,6.19,69.6,34.6,11:51
H3,3C,10/28/19,10.8,7.63,6.16,69.2,34.6,11:52
H4,4A,10/28/19,10.3,7.56,5.52,61.4,34.6,11:53
H4,4B,10/28/19,10.4,7.56,5.54,61.8,34.59,11:54
H4,4C,10/28/19,10.5,7.58,5.61,62.7,34.6,11:54
H5,5A,10/28/19,10,7.5,4.94,54.4,34.59,11:55
H5,5B,10/28/19,10,7.5,5.09,56.1,34.59,11:56
H5,5C,10/28/19,10.1,7.5,5.04,55.7,34.59,11:57
H6,6A,10/28/19,9.4,7.43,4.4,48.8,34.58,11:58
H6,6B,10/28/19,9.5,7.41,4.12,44.9,34.57,11:59
H6,6C,10/28/19,9.5,7.42,4.28,44.8,34.58,12:00
H1,1A,10/29/19,11.8,7.79,7.66,87.7,34.6,11:28
H1,1B,10/29/19,11.8,7.8,7.8,89.6,34.62,11:29
H1,1C,10/29/19,11.9,7.79,7.61,88,34.61,11:30
H2,2A,10/29/19,11.3,7.72,6.91,78.5,34.6,11:31
H2,2B,10/29/19,11.3,7.74,7.09,80.6,34.61,11:32
H2,2C,10/29/19,11.4,7.74,7.11,81,34.6,11:33
H3,3A,10/29/19,10.7,7.65,6.22,69.8,34.6,11:34
H3,3B,10/29/19,10.7,7.64,9.05,67.9,34.61,11:35
H3,3C,10/29/19,10.7,7.64,6.16,68.8,34.61,11:36
H4,4A,10/29/19,10.3,7.57,5.37,59.8,34.6,11:37
H4,4B,10/29/19,10.4,7.56,5.25,58.5,34.6,11:38
H4,4C,10/29/19,10.4,7.56,5.32,58.8,34.6,11:38
H5,5A,10/29/19,9.9,7.5,4.88,53.8,34.59,11:39
H5,5B,10/29/19,10,7.5,4.89,54,34.59,11:40
H5,5C,10/29/19,10.1,7.5,4.91,54.3,34.59,11:41
H6,6A,10/29/19,9.7,7.45,4.59,50.3,34.6,11:42
H6,6B,10/29/19,9.8,7.45,4.51,49.6,34.59,11:43
H6,6C,10/29/19,9.7,7.45,4.65,51.1,34.59,11:43
H1,1A,10/30/19,11.9,7.78,7.8,89.6,34.58,11:55
H1,1B,10/30/19,11.9,7.81,8.18,94.1,34.58,11:56
H1,1C,10/30/19,12.1,7.8,7.86,90.6,34.58,11:57
H2,2A,10/30/19,11.4,7.72,7.01,79.3,34.58,11:58
H2,2B,10/30/19,11.3,7.68,6.75,76.6,34.58,11:59
H2,2C,10/30/19,11.4,7.72,7.01,79.9,34.58,12:01
H3,3A,10/30/19,10.7,7.65,6.25,70.1,34.57,12:02
H3,3B,10/30/19,10.7,7.63,5.85,63.6,34.57,12:03
H3,3C,10/30/19,10.8,7.65,6.41,71.2,34.57,12:04
H4,4A,10/30/19,10.2,7.55,5.39,59.8,34.57,12:05
H4,4B,10/30/19,10.3,7.57,5.51,60.8,34.57,12:06
H4,4C,10/30/19,10.3,7.58,5.53,61.6,34.57,12:08
H5,5A,10/30/19,9.9,7.52,5.24,57.8,34.57,12:09
H5,5B,10/30/19,10,7.5,4.94,54.5,34.57,12:10
H5,5C,10/30/19,10,7.51,5.09,56.3,34.57,12:11
H6,6A,10/30/19,9.6,7.47,4.96,54.3,34.57,12:12
H6,6B,10/30/19,9.7,7.46,4.84,53.2,34.57,12:13
H6,6C,10/30/19,9.7,7.47,5.02,55,34.57,12:14
H1,1A,10/31/19,11.9,7.76,7.78,89.5,34.59,12:05
H1,1B,10/31/19,12,7.8,8.31,95.6,34.6,12:05
H1,1C,10/31/19,12.1,7.81,8.26,95.7,34.6,12:07
H2,2A,10/31/19,11.3,7.72,7.25,82.3,34.59,12:08
H2,2B,10/31/19,11.3,7.71,7.05,80.1,34.59,12:09
H2,2C,10/31/19,11.4,7.73,7.32,83.6,34.59,12:10
H3,3A,10/31/19,10.7,7.65,6.49,72.8,34.59,12:11
H3,3B,10/31/19,10.7,7.62,6.13,67.5,34.59,12:12
H3,3C,10/31/19,10.8,7.66,6.48,73,34.59,12:13
H4,4A,10/31/19,10,7.54,5.22,57.7,34.59,12:14
H4,4B,10/31/19,10.1,7.54,5.22,57.7,34.59,12:15
H4,4C,10/31/19,10.2,7.56,5.41,60.2,34.57,12:16
H5,5A,10/31/19,9.8,7.52,5.15,56.6,34.57,12:17
H5,5B,10/31/19,9.9,7.5,4.95,54.5,34.58,12:19
H5,5C,10/31/19,10,7.51,5.02,55.6,34.58,12:20
H6,6A,10/31/19,9.6,7.47,4.84,52.9,34.58,12:21
H6,6B,10/31/19,9.8,7.46,4.75,51.7,34.57,12:22
H6,6C,10/31/19,9.7,7.47,4.84,53,34.58,12:23
H1,1A,11/1/19,11.7,7.75,8.24,94.2,34.61,11:06
H1,1B,11/1/19,11.7,7.78,8.32,95.3,34.61,11:07
H1,1C,11/1/19,11.9,7.79,8.32,95.6,34.6,11:08
H2,2A,11/1/19,11.1,7.7,7.25,82,34.6,11:09
H2,2B,11/1/19,11.1,7.7,7.14,80.9,34.6,11:10
H2,2C,11/1/19,11.2,7.73,7.49,85,34.6,11:12
H3,3A,11/1/19,10.4,7.65,6.43,71.6,34.6,11:13
H3,3B,11/1/19,10.5,7.64,6.39,71.3,34.6,11:14
H3,3C,11/1/19,10.5,7.62,6.06,67.6,34.59,11:15
H4,4A,11/1/19,9.9,7.54,5.27,58.1,34.59,11:16
H4,4B,11/1/19,9.9,7.55,5.36,59,34.59,11:16
H4,4C,11/1/19,10,7.56,5.31,58.6,34.59,11:18
H5,5A,11/1/19,9.5,7.51,4.95,54,34.59,11:19
H5,5B,11/1/19,9.6,7.5,4.88,53.5,34.59,11:20
H5,5C,11/1/19,9.7,7.5,4.95,54.4,34.59,11:21
H6,6A,11/1/19,9.2,7.47,4.68,50.9,34.58,11:22
H6,6B,11/1/19,9.4,7.46,4.56,49.7,34.59,11:23
H6,6C,11/1/19,9.4,7.46,4.67,50.9,34.59,11:25
H1,1A,11/2/19,11.8,7.77,8.11,93.3,34.61,11:12
H1,1B,11/2/19,11.8,7.78,8.51,97.7,34.62,11:13
H1,1C,11/2/19,11.9,7.79,8.46,97.3,34.62,11:14
H2,2A,11/2/19,11.2,7.71,7.47,84.6,34.61,11:16
H2,2B,11/2/19,11.2,7.71,7.35,83.2,34.61,11:17
H2,2C,11/2/19,11.2,7.72,7.46,84.5,34.61,11:18
H3,3A,11/2/19,10.5,7.64,6.49,72.3,34.61,11:19
H3,3B,11/2/19,10.5,7.63,6.35,70.8,34.61,11:20
H3,3C,11/2/19,10.5,7.64,6.41,71.7,34.62,11:20
H4,4A,11/2/19,9.9,7.55,5.46,60.1,34.61,11:22
H4,4B,11/2/19,9.9,7.55,5.32,58.7,34.61,11:22
H4,4C,11/2/19,9.9,7.54,5.22,57.5,34.6,11:23
H5,5A,11/2/19,9.6,7.5,5.04,55.1,34.61,11:24
H5,5B,11/2/19,9.7,7.5,5.03,55.1,34.6,11:25
H5,5C,11/2/19,9.7,7.51,5.06,55.6,34.6,11:26
H6,6A,11/2/19,9.3,7.47,4.7,50.9,34.61,11:27
H6,6B,11/2/19,9.5,7.46,4.73,51.7,34.59,11:28
H6,6C,11/2/19,9.4,7.47,4.87,53.1,34.61,11:29
H1,1A,11/3/19,12,7.77,8.04,92,34.63,14:14
H1,1B,11/3/19,11.9,7.79,8.11,93.5,34.63,14:15
H1,1C,11/3/19,12.1,7.81,8.07,93.2,34.63,14:16
H2,2A,11/3/19,11.4,7.73,7.42,84.6,34.63,14:17
H2,2B,11/3/19,11.4,7.73,7.21,82.1,34.62,14:18
H2,2C,11/3/19,11.4,7.74,7.2,82,34.62,14:19
H3,3A,11/3/19,10.8,7.66,6.47,72.7,34.62,14:20
H3,3B,11/3/19,10.9,7.65,6.41,71.7,34.62,14:21
H3,3C,11/3/19,10.9,7.66,6.29,70.8,34.62,14:22
H4,4A,11/3/19,10.4,7.59,5.89,65.8,34.61,14:23
H4,4B,11/3/19,10.5,7.59,5.72,63.9,34.62,14:24
H4,4C,11/3/19,10.5,7.59,5.64,62.9,34.63,14:25
H5,5A,11/3/19,10.1,7.53,5.48,60.7,34.61,14:26
H5,5B,11/3/19,10.2,7.52,5.78,63.9,34.61,14:27
H5,5C,11/3/19,10.3,7.53,5.48,60.7,34.61,14:28
H6,6A,11/3/19,9.8,7.47,5.46,60,34.61,14:29
H6,6B,11/3/19,9.9,7.46,5.67,62.7,34.61,14:30
H6,6C,11/3/19,10,7.47,5.4,59.6,34.61,14:31
H1,1A,11/4/19,11.8,7.8,7.2,82.6,34.5,11:54
H1,1B,11/4/19,11.9,7.82,7.53,86.6,34.53,11:55
H1,1C,11/4/19,11.9,7.82,7.4,84.9,34.53,11:56
H2,2A,11/4/19,11.4,7.75,6.85,78,34.53,11:57
H2,2B,11/4/19,11.4,7.74,6.7,76.2,34.53,11:58
H2,2C,11/4/19,11.4,7.75,6.84,77.9,34.54,11:59
H3,3A,11/4/19,10.9,7.67,6.12,69,34.53,12:00
H3,3B,11/4/19,11,7.67,6.09,68.7,34.52,12:00
H3,3C,11/4/19,11,7.68,6.1,68.7,34.52,12:01
H4,4A,11/4/19,10.5,7.58,5.45,60.8,34.52,12:02
H4,4B,11/4/19,10.5,7.58,5.31,59.2,34.52,12:03
H4,4C,11/4/19,10.6,7.59,5.3,59.3,34.52,12:04
H5,5A,11/4/19,10.2,7.54,5,55.4,34.51,12:05
H5,5B,11/4/19,10.2,7.53,5.05,56.1,34.51,12:06
H5,5C,11/4/19,10.3,7.53,5.01,55.4,34.51,12:07
H6,6A,11/4/19,10.1,7.49,5.07,56.1,34.51,12:08
H6,6B,11/4/19,10.1,7.48,4.93,54.6,34.51,12:09
H6,6C,11/4/19,10.2,7.48,4.93,54.7,34.5,12:10
H1,1A,11/5/19,11.8,7.78,7.2,82.9,34.49,11:49
H1,1B,11/5/19,11.8,7.79,7.2,82.9,34.49,11:50
H1,1C,11/5/19,11.9,7.79,7.03,80.8,34.48,11:51
H2,2A,11/5/19,11.3,7.73,6.61,75.1,34.49,11:52
H2,2B,11/5/19,11.3,7.72,6.44,73.7,34.48,11:53
H2,2C,11/5/19,11.4,7.74,6.94,79.7,34.48,11:54
H3,3A,11/5/19,10.9,7.66,6.02,68.3,34.48,11:55
H3,3B,11/5/19,10.9,7.68,5.82,66.2,34.48,11:56
H3,3C,11/5/19,10.9,7.68,6.22,70.4,34.48,11:57
H4,4A,11/5/19,10.6,7.56,5.21,58.1,34.47,11:58
H4,4B,11/5/19,10.3,7.55,5.22,58,34.48,11:59
H4,4C,11/5/19,10.4,7.58,5.41,60.6,34.48,12:00
H5,5A,11/5/19,10.1,7.52,5.13,57.1,34.47,12:01
H5,5B,11/5/19,10.2,7.51,4.84,54.2,34.47,12:02
H5,5C,11/5/19,10.2,7.51,4.94,54.8,34.47,12:03
H6,6A,11/5/19,10,7.48,5.03,55.6,34.47,12:04
H6,6B,11/5/19,10.2,7.47,5.06,56.8,34.47,12:05
H6,6C,11/5/19,10.1,7.47,5.07,56.1,34.47,12:06
H1,1A,11/6/19,11.8,7.75,6.96,79.8,34.46,12:01
H1,1B,11/6/19,11.8,7.8,7.42,85.2,34.45,12:02
H1,1C,11/6/19,11.9,7.79,7.16,82.4,34.45,12:04
H2,2A,11/6/19,11.4,7.72,6.49,73.8,34.45,12:04
H2,2B,11/6/19,11.4,7.73,6.57,74.6,34.45,12:06
H2,2C,11/6/19,11.5,7.76,6.79,77.3,34.45,12:07
H3,3A,11/6/19,10.8,7.65,5.8,65.1,34.44,12:08
H3,3B,11/6/19,10.8,7.63,5.7,64.1,34.44,12:09
H3,3C,11/6/19,10.8,7.64,5.69,64,34.44,12:10
H4,4A,11/6/19,10.3,7.54,4.81,53.3,34.44,12:11
H4,4B,11/6/19,10.4,7.55,4.86,54.2,34.43,12:13
H4,4C,11/6/19,10.5,7.57,4.96,55.2,34.44,12:14
H5,5A,11/6/19,10.1,7.52,4.87,53.9,34.43,12:16
H5,5B,11/6/19,10.2,7.51,4.69,51.9,34.44,12:17
H5,5C,11/6/19,10.3,7.52,4.67,52,34.43,12:18
H6,6A,11/6/19,10.1,7.49,4.79,52.9,34.43,12:22
H6,6B,11/6/19,10.2,7.46,4.5,49.9,34.43,12:23
H6,6C,11/6/19,10.2,7.49,4.77,52.9,34.43,12:24
H1,1A,11/7/19,11.9,7.78,7.07,81.1,34.42,12:04
H1,1B,11/7/19,11.9,7.8,7.27,83.5,34.41,12:05
H1,1C,11/7/19,12,7.81,7.42,85.3,34.41,12:05
H2,2A,11/7/19,11.4,7.73,6.69,76.1,34.41,12:06
H2,2B,11/7/19,11.4,7.74,6.8,77.4,34.41,12:07
H2,2C,11/7/19,11.5,7.75,6.79,77.4,34.4,12:08
H3,3A,11/7/19,10.8,7.64,5.91,66.4,34.41,12:09
H3,3B,11/7/19,10.8,7.64,5.85,65.3,34.41,12:10
H3,3C,11/7/19,10.8,7.65,5.42,60.9,34.4,12:11
H4,4A,11/7/19,10.3,7.52,4.76,50.3,34.4,12:12
H4,4B,11/7/19,10.4,7.57,5.24,58.4,34.4,12:13
H4,4C,11/7/19,10.4,7.56,5.26,58.6,34.4,12:14
H5,5A,11/7/19,10.1,7.52,4.93,54.6,34.4,12:15
H5,5B,11/7/19,10.2,7.51,4.7,52.1,34.4,12:16
H5,5C,11/7/19,10.2,7.51,4.67,51.8,34.4,12:17
H6,6A,11/7/19,10,7.48,4.81,53,34.4,12:18
H6,6B,11/7/19,10.1,7.47,4.64,51.3,34.4,12:19
H6,6C,11/7/19,10,7.47,4.62,51,34.4,12:20
H1,1A,11/8/19,12.2,7.84,6.74,77.9,34.33,12:09
H1,1B,11/8/19,12.1,7.84,7.13,82.3,34.32,12:10
H1,1C,11/8/19,12.2,7.85,7.18,83,34.32,12:11
H2,2A,11/8/19,11.8,7.77,6.39,73.2,34.32,12:12
H2,2B,11/8/19,11.8,7.78,6.7,76.5,34.32,12:13
H2,2C,11/8/19,11.8,7.78,6.73,77.1,34.32,12:14
H3,3A,11/8/19,11.2,7.69,6.01,68,34.32,14:15
H3,3B,11/8/19,11.4,7.69,6.03,68.5,34.32,12:16
H3,3C,11/8/19,11.2,7.69,5.95,67,34.32,12:17
H4,4A,11/8/19,10.9,7.62,4.91,55.2,34.3,12:18
H4,4B,11/8/19,10.9,7.63,5.05,56.9,34.31,12:19
H4,4C,11/8/19,11,7.63,5.16,58.1,34.32,12:20
H5,5A,11/8/19,10.5,7.54,4.93,54.9,34.32,12:21
H5,5B,11/8/19,10.8,7.55,4.89,54.8,34.31,12:22
